0,0,0.1742,0.3465
0,20,0.1758,0.3554
0,50,0.1744,0.3699
0,100,0.1704,0.3998
0,150,0.1543,0.4338
0,200,0.1563,0.4440
50,0,0.1816,0.3441
50,20,0.1831,0.3483
50,50,0.1840,0.3561
50,100,0.1792,0.3869
50,150,0.1697,0.4256
50,200,0.1594,0.4462
100,0,0.2697,0.3142
100,20,0.2588,0.3187
100,50,0.2346,0.3339
100,100,0.2164,0.3777
100,150,0.1765,0.4133
100,200,0.1707,0.4354
150,0,0.3700,0.2560
150,20,0.3508,0.2659
150,50,0.3413,0.2838
150,100,0.2936,0.3410
150,150,0.2305,0.3838
150,200,0.2064,0.4196
200,0,0.4344,0.2159
200,20,0.4290,0.2227
200,50,0.4134,0.2406
200,100,0.3802,0.2866
200,150,0.3569,0.3244
200,200,0.3348,0.3472
